idx	accession	taxon	len_aa	tuple	p4ra_fold	p4ra_catalytic	bond_kJmol	modulus_GPa	bandgap_eV	melt_K
019	A2APB8	Mus_musculus sp	745	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
020	A2APC3	Mus_musculus sp	461	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
021	A0A0R4IEW8	Danio_rerio sp	411	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
022	A0A0R4ILB2	Danio_rerio sp	470	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
023	A0A193KX02	Danio_rerio sp	259	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
024	A0A8M9PDM1	Danio_rerio sp	317	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
025	A0MGZ7	Danio_rerio sp	419	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
026	A1YB07	Danio_rerio sp	721	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
027	A2BGM5	Danio_rerio sp	550	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
028	A2BIE7	Danio_rerio sp	567	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
029	A2CEH0	Danio_rerio sp	490	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
030	A3KPA3	Danio_rerio sp	242	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
031	A0A126GUP6	Drosophila_melanogaster sp	400	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
032	A1Z7L8	Drosophila_melanogaster sp	622	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
033	A1Z9J4	Drosophila_melanogaster sp	217	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
034	A1ZAC4	Drosophila_melanogaster sp	746	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
035	A8MPH9	Drosophila_melanogaster sp	722	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
036	B7Z0I7	Drosophila_melanogaster sp	351	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
037	E1JH26	Drosophila_melanogaster sp	264	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
038	M9PBE2	Drosophila_melanogaster sp	473	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
039	O01346	Drosophila_melanogaster sp	457	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
040	O46339	Drosophila_melanogaster sp	487	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
041	A0A131MCZ8	Caenorhabditis_elegans sp	797	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
042	A0A5E4M3Q4	Caenorhabditis_elegans sp	554	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
043	A5JYS0	Caenorhabditis_elegans sp	426	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
044	A5JYX5	Caenorhabditis_elegans sp	309	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
045	B1V8A0	Caenorhabditis_elegans sp	381	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
046	B2D6M2	Caenorhabditis_elegans sp	612	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
047	C6KRN1	Caenorhabditis_elegans sp	245	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
048	D0VWM8	Caenorhabditis_elegans sp	414	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
049	G4SDH4	Caenorhabditis_elegans sp	476	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
050	G5EBY8	Caenorhabditis_elegans sp	407	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
051	A0MES8	Arabidopsis_thaliana sp	328	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
052	A1A6M1	Arabidopsis_thaliana sp	387	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
053	A2RVM0	Arabidopsis_thaliana sp	322	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
054	A8MQN2	Arabidopsis_thaliana sp	616	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
055	A8MQY1	Arabidopsis_thaliana sp	473	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
056	A8R7E6	Arabidopsis_thaliana sp	617	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
057	B5TYT3	Arabidopsis_thaliana sp	771	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
058	B7ZWR6	Arabidopsis_thaliana sp	554	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
059	B9DFZ0	Arabidopsis_thaliana sp	386	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
060	C0LGF4	Arabidopsis_thaliana sp	591	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
061	D6VTK4	Saccharomyces_cerevisiae sp	431	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
062	O14455	Saccharomyces_cerevisiae sp	100	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
063	P00358	Saccharomyces_cerevisiae sp	332	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
064	P00359	Saccharomyces_cerevisiae sp	332	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
065	P00360	Saccharomyces_cerevisiae sp	332	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
066	P00401	Saccharomyces_cerevisiae sp	534	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
067	P00424	Saccharomyces_cerevisiae sp	153	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
068	P00431	Saccharomyces_cerevisiae sp	361	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
069	P00549	Saccharomyces_cerevisiae sp	500	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
070	P00830	Saccharomyces_cerevisiae sp	511	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
071	P00509	Escherichia_coli_K12 sp	396	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
072	P00803	Escherichia_coli_K12 sp	324	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
073	P00804	Escherichia_coli_K12 sp	164	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
074	P00861	Escherichia_coli_K12 sp	420	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
075	P00946	Escherichia_coli_K12 sp	391	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
076	P02359	Escherichia_coli_K12 sp	179	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
077	P02916	Escherichia_coli_K12 sp	514	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
078	P02925	Escherichia_coli_K12 sp	296	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
079	P02929	Escherichia_coli_K12 sp	239	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
080	P03023	Escherichia_coli_K12 sp	360	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
081	P81291	Methanocaldococcus_jannaschii sp	424	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
082	Q57580	Methanocaldococcus_jannaschii sp	225	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
083	Q57763	Methanocaldococcus_jannaschii sp	124	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
084	Q58185	Methanocaldococcus_jannaschii sp	313	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
085	Q58241	Methanocaldococcus_jannaschii sp	432	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
086	Q58293	Methanocaldococcus_jannaschii sp	336	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
087	Q58327	Methanocaldococcus_jannaschii sp	574	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
088	Q58487	Methanocaldococcus_jannaschii sp	312	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
089	Q58667	Methanocaldococcus_jannaschii sp	170	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
090	Q58761	Methanocaldococcus_jannaschii sp	284	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
091	P0DTC7	SARS_CoV_2 sp	121	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
092	P0DTC4	SARS_CoV_2 sp	75	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
093	P0DTC8	SARS_CoV_2 sp	121	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
094	P0DTD2	SARS_CoV_2 sp	97	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
095	P0DTC3	SARS_CoV_2 sp	275	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
096	P0DTC5	SARS_CoV_2 sp	222	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
097	P0DTC6	SARS_CoV_2 sp	61	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
098	P0DTC9	SARS_CoV_2 sp	419	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
099	P0DTD3	SARS_CoV_2 sp	73	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
100	P0DTG0	SARS_CoV_2 sp	57	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
